GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00020296	652	271	552	350	513	628	569
WBGene00001666	15	6	22	12	24	34	19
WBGene00002187	328	147	240	172	193	212	209
WBGene00219270	5	1	16	14	19	2	2
WBGene00165558	3	1	4	2	7	1	1
WBGene00020299	24	7	22	15	29	27	22
WBGene00001332	799	1158	910	820	845	954	1079
WBGene00000913	8438	12336	6870	5723	6371	10466	11776
WBGene00022046	2008	3453	1253	903	1193	1164	1232
WBGene00022047	75	5	93	56	86	72	68
WBGene00002041	799	489	630	524	656	148	158
WBGene00022045	140	203	48	33	50	133	125
WBGene00022044	493	613	280	213	260	587	584
WBGene00235263	9	3	2	8	5	4	5
WBGene00235264	1	1	4	4	2	1	1
WBGene00019772	31	13	12	21	17	15	18
WBGene00019773	17	7	12	8	5	6	3
WBGene00019774	62	40	42	52	62	36	31
WBGene00220031	1	1	2	2	2	1	1
WBGene00235265	5	2	2	2	5	1	2
WBGene00021011	80	114	58	58	64	68	66
WBGene00021012	1090	951	665	551	726	1097	1116
WBGene00000213	372	307	222	199	227	106	172
WBGene00201763	1	1	2	2	2	1	1
WBGene00021010	18	7	18	12	21	5	1
WBGene00021013	3	1	4	6	5	4	2
WBGene00001625	23	5	12	6	10	5	7
WBGene00017276	1	1	2	2	2	2	1
WBGene00199193	1	1	2	2	2	1	1
WBGene00018924	17	14	22	14	12	6	2
WBGene00200779	1	2	2	2	2	1	3
WBGene00201760	1	1	2	2	2	1	1
WBGene00198589	3	1	2	2	7	1	2
WBGene00195964	1	4	2	2	2	1	1
WBGene00001165	189	489	115	101	119	134	151
WBGene00197598	4	4	2	4	2	1	1
WBGene00197815	1	1	2	2	2	1	2
WBGene00018927	13	49	6	6	19	11	8
WBGene00219978	1	9	6	2	5	2	3
WBGene00018925	661	993	429	410	480	627	584
WBGene00001579	1519	2301	1791	1532	1750	1378	1301
WBGene00018926	145	39	66	70	45	4	3
WBGene00189987	9	10	6	4	7	4	1
WBGene00015995	1	1	2	2	2	1	1
WBGene00015996	84	9	22	15	17	91	16
WBGene00015994	69	11	36	27	29	4	6
WBGene00199836	1	1	2	2	2	1	1
WBGene00015997	14	3	4	4	2	1	1
WBGene00044457	24	2	22	10	10	9	13
WBGene00015998	5	4	4	8	2	2	1
WBGene00015999	3	6	4	4	2	5	2
WBGene00000676	92	34	18	15	24	59	26
WBGene00199072	1	1	2	2	7	1	1
WBGene00002140	17	18	20	19	14	12	11
WBGene00015993	53	21	22	21	17	26	29
WBGene00022911	892	163	14	21	10	104	26
WBGene00200850	3	1	2	4	2	2	1
WBGene00200054	27	2	10	23	19	9	4
WBGene00194995	2964	49	641	545	587	276	245
WBGene00015497	126	29	121	104	160	85	93
WBGene00019665	55	25	34	23	50	49	47
WBGene00196668	1	1	2	2	2	1	1
WBGene00019658	104	26	34	17	29	79	62
WBGene00004427	8910	11323	5807	5057	5650	16138	15364
WBGene00044948	413	8	165	182	267	662	267
WBGene00045051	450	6	300	265	487	598	441
WBGene00019664	777	775	205	184	193	617	527
WBGene00023106	74	7	2	8	14	17	6
WBGene00019663	186	36	93	99	81	127	130
WBGene00019662	1	2	6	4	2	6	9
WBGene00044723	4	8	4	10	5	5	3
WBGene00019659	3	2	4	2	2	2	4
WBGene00019660	8	3	6	10	5	8	5
WBGene00044458	1	1	6	4	2	2	2
WBGene00019661	24	11	26	21	21	35	40
WBGene00195864	1	2	2	2	2	1	1
WBGene00023038	13	2	4	2	2	6	3
WBGene00018256	69	157	64	37	41	56	41
WBGene00235287	24	39	6	23	7	14	16
WBGene00021950	57	58	83	79	91	53	46
WBGene00021949	3	5	4	4	5	2	1
WBGene00044460	9	2	10	14	14	3	2
WBGene00044459	92	34	85	73	91	27	29
WBGene00021951	4	20	2	6	2	7	4
WBGene00168241	1	1	2	2	2	1	2
WBGene00219763	1	1	4	2	2	2	1
WBGene00197624	1	15	4	4	2	18	4
WBGene00021948	135	73	73	75	79	81	74
WBGene00196878	1	1	2	2	2	1	1
WBGene00194844	5	18	2	4	5	11	8
WBGene00021947	8	4	8	4	5	2	3
WBGene00001788	10	9	2	10	7	7	8
WBGene00000677	6367	4987	1507	1702	1582	3368	2603
WBGene00018928	116	34	75	39	48	84	68
WBGene00018929	24	4	38	27	17	35	39
WBGene00018933	5	8	4	4	5	4	6
WBGene00018932	540	456	197	159	205	730	632
WBGene00018931	330	14	42	27	45	21	17
WBGene00199691	1	1	2	2	5	1	1
WBGene00004824	362	510	250	197	215	437	380
WBGene00197041	1	1	2	2	5	2	1
WBGene00200616	1	2	2	2	2	1	1
WBGene00018930	24	6	22	10	17	5	6
WBGene00018935	489	181	185	137	169	418	384
WBGene00018934	450	628	167	124	158	453	493
WBGene00001154	676	584	512	470	683	1124	1142
WBGene00220182	65	35	123	95	141	280	256
WBGene00021935	370	317	282	251	272	457	431
WBGene00185088	83	66	81	75	100	90	103
WBGene00235283	1	1	2	4	5	2	2
WBGene00021936	957	622	1076	808	1155	1716	1665
WBGene00220183	3	3	20	17	19	1	1
WBGene00199601	1	1	2	4	2	1	1
WBGene00202216	1	1	8	2	2	1	1
WBGene00021942	37	35	22	17	24	46	47
WBGene00044742	81	47	75	44	76	58	65
WBGene00021943	578	333	882	696	876	862	938
WBGene00201199	1	2	2	2	2	1	1
WBGene00023184	50	1	2	2	2	2	6
WBGene00021941	41	2	24	14	21	14	6
WBGene00021945	520	225	302	232	310	464	389
WBGene00044757	37	2	14	12	17	7	4
WBGene00021939	266	212	226	172	203	161	158
WBGene00195533	1	1	2	4	2	1	1
WBGene00023183	9241	4886	8425	7227	9800	5334	3379
WBGene00201671	8	719	14	23	12	4	3
WBGene00021938	722	1797	463	410	468	733	734
WBGene00196995	1	1	2	2	2	1	1
WBGene00196058	1	1	2	4	2	1	1
WBGene00007007	435	722	385	302	306	401	424
WBGene00016649	219	338	220	199	172	186	262
WBGene00045301	108	168	135	126	131	53	86
WBGene00016648	230	365	224	217	167	190	277
WBGene00045300	112	170	139	130	134	53	87
WBGene00016647	230	365	224	217	167	190	277
WBGene00045299	111	169	137	130	134	53	87
WBGene00016646	220	340	222	201	177	186	265
WBGene00045298	104	209	137	133	131	49	83
WBGene00019073	229	364	224	215	162	190	275
WBGene00019072	123	187	155	145	143	60	99
WBGene00019070	13	55	26	10	12	12	14
WBGene00019069	41	52	38	43	26	34	29
WBGene00196404	1	1	2	4	7	1	1
WBGene00199590	1	1	2	2	2	3	1
WBGene00019067	17	4	14	15	10	2	4
WBGene00019068	247	230	155	143	174	149	142
WBGene00004047	1960	987	2018	1665	1862	2475	2218
WBGene00043705	200	157	185	139	169	154	179
WBGene00220181	19	26	26	15	26	27	33
WBGene00021924	878	326	1055	692	1117	1775	1675
WBGene00021923	95	63	139	77	88	143	114
WBGene00021925	67	76	36	25	38	65	67
WBGene00021926	577	936	318	313	327	748	754
WBGene00021922	536	529	240	201	215	547	581
WBGene00021921	1065	729	1013	932	900	1559	1323
WBGene00194825	1	1	2	2	2	1	1
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	1	2	4	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021927	31	6	28	21	21	27	20
WBGene00219762	1	1	10	4	5	1	1
WBGene00021928	29	63	26	27	17	37	41
WBGene00005903	108	2	6	4	5	4	2
WBGene00219399	39	41	26	29	41	36	27
WBGene00021929	1060	762	643	543	652	1286	1440
WBGene00021930	520	851	222	178	179	690	585
WBGene00021920	394	435	177	157	158	219	263
WBGene00021931	29	51	12	15	19	47	56
WBGene00000816	698	323	399	350	351	973	944
WBGene00021934	3200	6284	2256	1708	2339	7146	6751
WBGene00196098	1	1	2	2	2	1	1
WBGene00021933	306	137	145	153	131	578	454
WBGene00021932	306	127	105	62	127	217	211
WBGene00044462	4	14	2	6	5	7	6
WBGene00016637	3	116	6	2	5	294	298
WBGene00003893	5151	11031	2967	2800	2945	4932	6311
WBGene00005905	1	1	4	4	2	2	3
WBGene00005904	13	3	6	8	5	3	1
WBGene00202064	1	1	2	2	2	1	1
WBGene00016638	4087	2122	2008	1611	2024	7822	8743
WBGene00016636	1595	262	1253	1151	1423	7861	9017
WBGene00016639	3	3	6	12	2	6	6
