gene_id_names,HS_J2,HS_INP,N2_J2,N2_INP,OK_J2,OK_INP
WBGene00000879,1,0,0,0,0,0
WBGene00021914,1,0,1,0,1,0
WBGene00200542,1,0,0,0,0,0
WBGene00044746,1,0,0,0,0,0
WBGene00001179,1,0,0,0,0,0
WBGene00001932,1,0,0,0,0,0
WBGene00003144,1,0,0,0,0,0
WBGene00201398,1,0,1,0,1,1
WBGene00197625,1,0,0,0,0,0
WBGene00050197,1,0,0,0,0,0
WBGene00008968,1,0,1,1,1,1
WBGene00017587,1,0,0,0,0,0
WBGene00022139,1,0,1,1,0,0
WBGene00003332,1,0,0,0,0,0
WBGene00009936,1,1,0,0,0,0
WBGene00014954,1,0,1,1,0,1
WBGene00001755,1,0,0,0,0,0
WBGene00013427,1,1,0,0,0,0
WBGene00008387,1,0,0,1,1,0
WBGene00196671,1,0,1,0,0,0
WBGene00220118,1,0,1,0,1,0
WBGene00015273,1,0,1,1,1,1
WBGene00199607,1,0,1,0,0,0
WBGene00004443,1,0,0,0,0,1
WBGene00198205,1,0,1,0,0,0
WBGene00199757,1,0,1,0,0,0
WBGene00201669,1,0,1,1,1,1
WBGene00044975,1,0,0,0,0,0
WBGene00013669,1,0,1,0,1,1
WBGene00010585,1,0,0,0,0,0
WBGene00195350,1,0,1,0,0,0
WBGene00171269,1,0,0,0,0,0
WBGene00007914,1,0,0,0,0,0
WBGene00016576,1,0,0,0,0,0
WBGene00018581,1,0,1,0,0,1
WBGene00022367,1,0,0,0,0,0
WBGene00014126,1,0,0,0,0,0
WBGene00021227,1,0,1,1,1,1
WBGene00220246,1,0,1,1,1,1
WBGene00019535,1,0,0,0,0,0
WBGene00000036,1,0,0,0,0,0
WBGene00044923,1,0,0,0,0,0
WBGene00201383,1,0,0,0,0,0
WBGene00046822,1,0,0,0,0,0
WBGene00195155,1,0,0,0,0,0
WBGene00013260,1,0,0,0,0,0
WBGene00007637,1,0,1,0,1,1
WBGene00004413,1,0,0,0,0,0
WBGene00007479,1,0,0,0,0,0
WBGene00220004,1,0,1,0,1,1
WBGene00021406,1,0,0,1,1,1
WBGene00220236,1,0,1,0,0,0
WBGene00004271,1,0,0,0,0,0
WBGene00004314,1,0,0,0,0,0
WBGene00021238,1,0,1,1,1,1
WBGene00017811,1,0,0,0,0,0
WBGene00220207,1,0,1,1,1,1
WBGene00007317,1,0,0,0,0,1
WBGene00003288,1,0,0,0,0,0
WBGene00235348,1,0,1,0,1,0
WBGene00201282,1,0,0,0,0,0
WBGene00022447,1,0,0,0,0,0
WBGene00016997,1,0,0,0,0,0
WBGene00006945,1,0,0,0,0,0
WBGene00009301,1,0,0,1,1,0
WBGene00014843,1,0,0,1,0,1
WBGene00044131,1,0,1,0,1,1
WBGene00022193,1,0,0,0,0,0
WBGene00022406,1,0,0,0,0,0
WBGene00003762,1,0,0,0,0,0
WBGene00200167,1,0,0,0,0,0
WBGene00199808,1,0,0,0,0,0
WBGene00001875,1,0,0,0,0,0
WBGene00014407,1,0,0,0,0,0
WBGene00013606,1,0,0,0,1,0
WBGene00077466,1,1,0,0,0,1
WBGene00007062,1,0,1,1,1,1
WBGene00005814,1,0,0,0,0,0
WBGene00001912,1,0,0,0,0,0
WBGene00010011,1,0,0,0,0,0
WBGene00001918,1,0,0,0,0,0
WBGene00004246,1,0,1,1,1,1
WBGene00022491,1,0,1,0,1,0
WBGene00012719,1,0,1,1,1,1
WBGene00015658,1,0,0,0,0,0
WBGene00012457,1,0,0,0,0,0
WBGene00012592,1,0,0,0,0,0
WBGene00013155,1,0,0,0,0,0
WBGene00007870,1,0,0,0,1,0
WBGene00019241,1,0,0,0,0,0
WBGene00006958,1,0,1,0,1,1
WBGene00167292,1,0,0,0,0,0
WBGene00012961,1,0,1,1,1,1
WBGene00195341,1,0,0,0,0,0
WBGene00003783,1,0,1,0,1,1
WBGene00009589,1,1,0,0,0,0
WBGene00008502,1,0,0,0,0,0
WBGene00007922,1,0,0,0,0,0
WBGene00219675,1,1,0,0,0,0
WBGene00202175,1,1,0,0,0,0
WBGene00000476,1,0,1,0,0,0
WBGene00019466,1,0,0,0,0,0
WBGene00015731,1,0,1,0,1,1
WBGene00004513,1,1,1,1,1,1
WBGene00001889,1,0,0,0,0,0
WBGene00199753,1,0,0,0,0,0
WBGene00170664,1,0,0,0,0,0
WBGene00220052,1,0,0,0,0,0
WBGene00202033,1,0,0,0,0,1
WBGene00012730,1,0,0,0,0,0
WBGene00015514,1,0,0,0,0,0
WBGene00194892,1,0,0,0,0,0
WBGene00199697,1,0,1,1,0,0
WBGene00016458,1,0,1,1,1,1
WBGene00170519,1,0,0,0,0,0
WBGene00012640,1,0,0,0,0,0
WBGene00003827,1,0,0,1,0,1
WBGene00009527,1,0,0,0,0,0
WBGene00199258,1,0,0,0,0,1
WBGene00022745,1,0,0,0,0,1
WBGene00194981,1,0,0,1,0,1
WBGene00014264,1,0,0,0,0,0
WBGene00009654,1,0,1,1,1,1
WBGene00200397,1,0,0,0,0,0
WBGene00012615,1,0,0,0,0,0
WBGene00200765,1,0,0,0,0,0
WBGene00172287,1,0,0,0,0,0
WBGene00018602,1,0,0,0,0,0
WBGene00004890,1,0,1,0,1,1
WBGene00011611,1,0,1,0,0,0
WBGene00015989,1,0,0,0,0,1
WBGene00015734,1,0,1,0,0,1
WBGene00006927,1,0,0,0,0,0
WBGene00004010,1,0,1,0,1,1
WBGene00001923,1,0,0,0,0,0
WBGene00011418,1,0,1,1,1,1
WBGene00014309,1,0,0,0,0,0
WBGene00196827,1,0,0,0,0,0
WBGene00017287,1,1,1,1,1,1
WBGene00012840,1,0,0,0,0,0
WBGene00015228,1,0,0,0,0,1
WBGene00007736,1,0,1,1,1,1
WBGene00001901,1,0,0,0,0,0
WBGene00008144,1,1,0,0,0,0
WBGene00022211,1,0,1,0,1,1
WBGene00022473,1,0,0,0,0,0
WBGene00219803,1,0,1,1,1,1
WBGene00012362,1,0,1,1,1,1
WBGene00201964,1,0,0,0,0,0
WBGene00202343,1,0,0,0,0,0
WBGene00017499,1,0,0,0,0,0
WBGene00000785,1,0,0,0,0,0
WBGene00013918,1,0,0,0,0,0
WBGene00020865,1,0,0,0,0,1
WBGene00220087,1,0,0,0,0,0
WBGene00012958,1,0,0,0,0,0
WBGene00007458,1,0,0,0,0,0
WBGene00021236,1,0,0,0,0,0
WBGene00196280,1,0,0,0,0,0
WBGene00003951,1,0,0,0,0,0
WBGene00021363,1,0,0,0,0,0
WBGene00002016,1,0,0,0,0,0
WBGene00000680,1,0,0,0,0,0
WBGene00201625,1,0,0,0,0,0
WBGene00019726,1,0,0,0,0,0
WBGene00022366,1,0,0,0,1,1
WBGene00220217,1,0,0,0,0,0
WBGene00004464,1,0,0,0,0,0
WBGene00022025,1,0,0,0,0,0
WBGene00013213,1,0,0,0,0,0
WBGene00006977,1,0,0,0,0,0
WBGene00046797,1,0,0,0,0,0
WBGene00012358,1,0,0,0,0,0
WBGene00023162,1,0,0,0,0,0
WBGene00011175,1,0,0,0,0,0
WBGene00018199,1,0,0,0,0,1
WBGene00220216,1,0,0,0,0,0
WBGene00007952,1,0,1,0,0,1
WBGene00014376,1,0,1,1,0,1
WBGene00007124,1,0,0,1,0,1
WBGene00016017,1,0,0,0,0,0
WBGene00019698,1,0,0,0,0,0
WBGene00022128,1,0,1,0,1,0
WBGene00000669,1,0,0,0,0,0
WBGene00023263,1,0,0,0,0,0
WBGene00003262,1,0,0,0,0,0
WBGene00195664,1,0,0,0,0,0
WBGene00012292,1,0,0,0,0,0
WBGene00044949,1,0,1,0,1,1
WBGene00007928,1,0,0,0,0,0
WBGene00200893,1,0,0,0,0,0
WBGene00014285,1,0,0,0,0,0
WBGene00012715,1,0,0,0,0,0
WBGene00001899,1,0,0,0,0,0
