GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00000913	51	18	38	37	62	95	127
WBGene00022046	25	21	30	19	36	41	28
WBGene00022047	9	7	6	8	10	4	1
WBGene00002041	6	12	18	6	14	26	30
WBGene00022045	1	2	8	6	2	4	3
WBGene00022044	1	4	2	2	2	4	2
WBGene00235263	1	2	2	2	10	1	1
WBGene00235264	6	16	6	2	5	1	1
WBGene00019772	3	1	2	2	2	3	2
WBGene00019773	11	7	8	6	5	4	2
WBGene00019774	5	11	4	2	7	5	4
WBGene00220031	1	1	2	2	2	1	1
WBGene00235265	1	77	2	4	2	1	1
WBGene00021011	31	4	20	19	17	7	5
WBGene00021012	33	73	4	8	7	7	11
WBGene00000213	9	7	8	8	7	3	3
WBGene00201763	15	2	6	12	7	5	7
WBGene00021010	14	1	2	4	2	4	2
WBGene00021013	1	1	2	2	2	2	1
WBGene00001625	5	4	2	4	2	2	3
WBGene00017276	1	1	2	2	2	1	1
WBGene00199193	1	1	2	2	2	1	1
WBGene00018924	4	28	2	6	2	4	7
WBGene00200779	1	1	6	2	2	1	1
WBGene00201760	1	2	2	2	2	1	1
WBGene00198589	1	4	2	2	2	1	1
WBGene00195964	3	1	2	2	5	1	1
WBGene00001165	3	3	2	6	7	2	3
WBGene00197598	3	2	16	10	5	2	2
WBGene00197815	1	2	2	4	2	2	2
WBGene00018927	3	3	2	2	2	2	1
WBGene00219978	1	1	2	2	2	1	1
WBGene00018925	8	3	8	2	7	4	11
WBGene00001579	17	11	10	12	17	15	6
WBGene00018926	17	32	10	15	26	7	7
WBGene00189987	15	9	16	17	7	9	11
WBGene00015995	1	1	2	2	2	1	1
WBGene00015996	6	6	8	4	2	1	3
WBGene00015994	1	2	4	2	2	1	2
WBGene00199836	1	1	2	2	2	1	1
WBGene00015997	4	2	4	4	2	1	2
WBGene00044457	5	7	4	4	5	4	2
WBGene00015998	4	5	2	2	2	1	1
WBGene00015999	6	1	2	2	2	1	1
WBGene00000676	5	12	2	2	10	1	1
WBGene00199072	9	2	2	4	5	5	3
WBGene00002140	5	7	2	4	2	6	2
WBGene00015993	3	5	6	6	2	7	8
WBGene00022911	3	1	2	4	2	2	1
WBGene00200850	892	163	14	21	10	104	26
WBGene00200054	2964	50	641	545	587	276	245
WBGene00194995	1	2	2	8	5	7	4
WBGene00015497	8	87	2	4	7	67	74
WBGene00019665	18	28	8	6	10	28	27
WBGene00196668	1	1	2	2	2	1	1
WBGene00019658	3	2	2	2	5	4	2
WBGene00004427	20	15	28	12	29	87	109
WBGene00044948	4	1	2	2	2	2	1
WBGene00045051	1	1	2	4	2	2	2
WBGene00019664	6	13	16	15	7	9	9
WBGene00023106	1	1	2	4	2	1	1
WBGene00019663	1	2	4	4	5	5	1
WBGene00019662	3	1	2	2	2	1	1
WBGene00044723	3	16	2	4	2	3	3
WBGene00019659	4	7	2	6	2	2	6
WBGene00019660	4	26	4	4	2	7	4
WBGene00044458	1	3	4	4	2	1	1
WBGene00019661	5	1	4	4	7	2	1
WBGene00195864	13	2	4	2	2	7	3
WBGene00023038	1	2	2	2	2	1	1
WBGene00018256	4	7	6	4	7	3	2
WBGene00235287	3	2	4	2	2	1	1
WBGene00021950	9	2	4	6	7	5	2
WBGene00021949	6	2	8	4	10	2	1
WBGene00044460	5	19	4	4	5	5	4
WBGene00044459	5	2	2	2	2	4	2
WBGene00021951	1	1	2	2	7	1	1
WBGene00168241	1	1	2	2	2	1	1
WBGene00219763	1	1	2	2	5	1	1
WBGene00197624	1	1	4	2	2	1	1
WBGene00021948	42	36	16	21	12	18	21
WBGene00196878	3	12	6	10	7	1	1
WBGene00194844	5	2	10	2	2	1	1
WBGene00021947	5	291	8	2	7	79	115
WBGene00001788	8	392	4	2	5	150	220
WBGene00000677	20	2	8	4	12	25	18
WBGene00018928	8	21	8	4	7	15	6
WBGene00018929	8	31	6	6	7	8	10
WBGene00018933	17	3	8	6	7	15	22
WBGene00018932	9	8	8	4	19	11	9
WBGene00018931	10	4	6	6	10	2	1
WBGene00199691	1	1	2	6	2	2	1
WBGene00004824	14	5	6	4	2	7	5
WBGene00197041	1	1	4	4	2	1	1
WBGene00200616	1	1	6	4	5	1	1
WBGene00018930	11	6	20	12	24	7	7
WBGene00018935	4	1	4	2	5	3	3
WBGene00018934	11	2	6	4	7	15	9
WBGene00001154	5	4	8	4	7	15	7
WBGene00220182	1	2	2	2	2	2	2
WBGene00021935	11	2	4	10	2	10	3
WBGene00185088	6	4	2	4	5	1	2
WBGene00235283	3	2	4	2	2	1	1
WBGene00021936	8	7	6	12	7	11	9
WBGene00220183	1	1	2	2	2	1	1
WBGene00199601	1	1	8	2	2	1	1
WBGene00202216	1	1	2	4	2	1	1
WBGene00021942	3	10	12	8	14	4	8
WBGene00044742	13	6	8	8	19	8	7
WBGene00021943	5	253	6	8	10	9	6
WBGene00201199	55	1	2	6	2	3	6
WBGene00023184	1	2	2	2	2	1	1
WBGene00021941	3	7	2	4	2	5	2
WBGene00021945	8	2	6	6	2	5	3
WBGene00044757	3	2	2	6	2	1	1
WBGene00021939	39	23	26	29	48	22	23
WBGene00195533	3	1	2	6	2	1	1
WBGene00023183	8	719	14	19	12	4	3
WBGene00201671	9243	4886	8423	7221	9796	5325	3375
WBGene00021938	41	16	8	12	19	11	6
WBGene00196995	1	1	8	2	5	1	2
WBGene00196058	1	1	2	2	2	2	1
WBGene00007007	20	3	8	8	7	7	3
WBGene00016649	6	2	16	25	17	4	7
WBGene00045301	11	11	8	17	21	7	8
WBGene00016648	6	3	14	25	21	4	6
WBGene00045300	11	11	8	19	21	7	8
WBGene00016647	6	3	14	25	21	4	6
WBGene00045299	11	11	8	19	21	7	8
WBGene00016646	6	3	16	25	17	4	7
WBGene00045298	11	10	10	19	21	7	9
WBGene00019073	6	3	14	25	21	4	6
WBGene00019072	14	21	10	17	19	8	8
WBGene00019070	8	2	4	2	2	1	1
WBGene00019069	9	3	4	6	10	4	2
WBGene00196404	1	1	2	2	2	3	1
WBGene00199590	1	1	2	4	7	1	1
WBGene00019067	4	9	14	31	21	11	5
WBGene00019068	10	11	16	23	14	5	4
WBGene00004047	39	25	28	21	29	36	32
WBGene00043705	5	195	4	10	2	1	3
WBGene00220181	1	1	2	4	2	1	1
WBGene00021924	20	45	34	35	19	15	12
WBGene00021923	10	133	38	54	50	45	33
WBGene00021925	5	1	4	4	2	1	2
WBGene00021926	5	4	4	4	2	10	6
WBGene00021922	13	16	20	6	10	16	11
WBGene00021921	10	10	4	10	17	23	18
WBGene00194825	1	2	2	2	2	1	1
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	2	2	2	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021927	4	4	2	2	5	5	4
WBGene00219762	1	1	4	2	2	3	2
WBGene00021928	1	26	4	2	2	2	1
WBGene00005903	4	21	6	14	10	2	1
WBGene00219399	5	1	4	14	5	2	1
WBGene00021929	17	7	10	4	10	25	6
WBGene00021930	4	2	2	4	2	6	5
WBGene00021920	4	5	6	2	5	4	4
WBGene00021931	13	6	12	10	7	9	3
WBGene00000816	13	2	8	6	5	3	7
WBGene00021934	17	7	6	14	14	29	25
WBGene00196098	1	1	2	2	2	5	1
WBGene00021933	3	5	2	10	2	9	5
WBGene00021932	1	7	4	2	5	6	5
WBGene00044462	3	12	6	2	2	115	121
WBGene00016637	3	1	2	4	5	4	3
WBGene00003893	17	12	22	21	26	41	52
WBGene00005905	3	30	2	4	2	14	11
WBGene00005904	11	18	2	4	5	7	9
WBGene00202064	3	1	2	2	5	1	1
WBGene00016638	39	13	16	41	33	130	73
WBGene00016636	8	3	4	6	7	34	52
WBGene00016639	4	6	8	8	7	5	5
WBGene00199664	1	1	2	2	2	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00023256	3	2	2	2	2	1	1
WBGene00016797	5	7	20	15	12	5	4
WBGene00023257	1	1	2	2	2	1	1
WBGene00016798	1	1	2	4	2	1	1
WBGene00219437	1	2	2	2	5	2	1
WBGene00016796	5	21	6	10	17	14	13
WBGene00198147	5	1	10	4	5	1	2
WBGene00198949	1	1	2	2	2	1	1
WBGene00022426	1	7	4	4	7	9	6
WBGene00022428	4	10	4	6	5	3	2
WBGene00198533	1	1	10	8	7	4	4
WBGene00197287	1	2	10	12	7	5	4
WBGene00007020	3	2	2	4	2	4	3
WBGene00196875	1	1	2	4	5	1	1
WBGene00022427	742	7	93	120	72	17	7
WBGene00196976	1	2	2	2	2	1	1
WBGene00202019	1	1	2	4	2	1	1
WBGene00001104	14	34	20	23	29	11	13
WBGene00023163	9	17	6	8	12	3	3
WBGene00001103	6	6	8	4	19	7	3
WBGene00021123	4	2	2	4	2	1	3
WBGene00044463	3	2	2	2	2	2	1
WBGene00021122	19	2	302	220	427	9	19
WBGene00021121	8	4	6	8	12	4	3
WBGene00021120	3	2	8	2	7	4	1
WBGene00009521	19	20	12	10	10	19	12
WBGene00044908	4	2	4	6	2	4	1
WBGene00009522	8	2	4	6	2	1	1
WBGene00009523	1	2	2	4	7	2	1
WBGene00009524	4	13	6	4	5	2	2
WBGene00009518	10	5	8	2	7	4	2
WBGene00009519	5	22	8	4	5	5	4
WBGene00045003	1	1	2	2	2	4	1
WBGene00009517	1	2	4	2	5	1	2
WBGene00009520	10	12	12	17	10	4	2
WBGene00045037	1	1	2	2	2	1	1
WBGene00009526	4	7	4	2	2	2	1
WBGene00009525	1	1	4	2	2	2	1
WBGene00009515	5	6	4	2	7	4	2
WBGene00007476	3	3	6	4	2	3	2
WBGene00022425	48	16	14	15	21	12	6
WBGene00018776	44	10	56	54	62	21	15
WBGene00018778	27	14	30	29	21	32	27
WBGene00018777	5	2	8	10	26	12	7
WBGene00023291	3	2	6	2	2	4	4
WBGene00019054	1	3	4	6	7	2	2
WBGene00019053	1	2	4	4	2	4	1
WBGene00004338	4	5	4	8	12	6	5
WBGene00000678	15	3	8	4	2	4	4
WBGene00023304	3	1	2	2	2	1	1
WBGene00166535	1	2	2	2	2	1	1
WBGene00000679	141	3	6	14	17	4	2
WBGene00200943	1	1	2	2	2	1	1
WBGene00023305	1	1	2	2	2	1	2
WBGene00199889	3	2	6	2	7	1	2
WBGene00019052	4	1	10	10	7	5	3
WBGene00219265	1	2	6	8	2	7	5
WBGene00023397	10	1	8	10	10	11	24
WBGene00022423	8	17	10	12	5	8	10
WBGene00023202	3	1	2	4	2	1	1
WBGene00198926	1	1	2	2	5	2	2
WBGene00022314	1	1	4	2	2	2	3
WBGene00023392	1	1	4	4	2	2	1
WBGene00022309	3	2	2	2	2	2	2
WBGene00022310	10	4	8	14	5	7	6
WBGene00199927	1	1	2	4	2	1	1
WBGene00002180	1	8	2	2	7	1	2
WBGene00022311	9	58	8	6	7	209	196
WBGene00022312	4	82	8	8	17	137	138
WBGene00235266	210	26	2	21	10	36	39
WBGene00235267	5	87	2	4	5	20	26
WBGene00000546	18	21	4	10	14	54	45
WBGene00000547	11	47	18	23	14	45	44
WBGene00022308	4	2	2	2	7	4	1
WBGene00022307	13	16	10	4	10	28	31
WBGene00000680	53	9	36	15	48	50	69
WBGene00022313	6	6	4	14	5	6	6
WBGene00023393	3	1	2	2	2	1	1
WBGene00220213	4	1	2	4	5	2	1
WBGene00023394	1	1	4	2	2	1	1
WBGene00044464	3	1	4	2	2	6	1
WBGene00199030	1	1	2	2	2	1	1
WBGene00003806	4	2	4	4	2	6	3
WBGene00022306	5	144	16	6	14	13	5
WBGene00198503	1	1	2	2	2	1	1
WBGene00019368	3	1	2	2	2	2	3
WBGene00023094	1	1	2	2	2	1	1
WBGene00197920	5	1	4	2	5	1	1
WBGene00195475	1	1	2	2	7	2	1
WBGene00044719	1	2	2	2	2	1	1
WBGene00019369	1	2	2	4	5	4	1
WBGene00019367	3	6	4	8	5	4	3
WBGene00019370	6	2	12	14	24	4	5
WBGene00195474	1	1	2	2	2	1	1
WBGene00201161	1	1	2	2	2	1	1
WBGene00016427	9	157	8	6	7	8	8
WBGene00000681	5	2	10	17	12	8	6
WBGene00044073	38	3	22	43	29	6	4
WBGene00016425	27	39	16	14	33	7	6
WBGene00016424	61	16	26	43	24	9	4
WBGene00021520	32	14	58	37	55	11	12
WBGene00021519	17	8	34	27	21	11	8
WBGene00021518	28	5	60	21	38	16	9
WBGene00021517	48	15	54	43	45	27	20
WBGene00003794	36	34	34	41	38	89	76
WBGene00220152	1	1	2	2	2	1	1
WBGene00220153	1	1	2	2	5	4	5
WBGene00021516	60	43	169	137	141	21	19
WBGene00000416	5	4	4	14	5	11	7
WBGene00021515	1	2	4	4	5	5	2
WBGene00021514	4	2	8	6	7	5	5
WBGene00001105	4	2	6	2	2	2	1
WBGene00003712	3	17	6	4	2	3	4
WBGene00021521	6	34	6	12	12	4	7
WBGene00003682	8	38	20	35	29	5	4
WBGene00003677	8	101	6	12	12	5	7
WBGene00045255	8	20	10	10	10	12	5
WBGene00202209	1	1	2	2	2	1	1
WBGene00199574	3	1	2	4	2	1	1
WBGene00219752	3	1	2	4	5	1	1
WBGene00021525	1	2	2	4	2	4	1
WBGene00021513	5	2	6	6	10	8	2
WBGene00021522	3	9	6	4	7	4	3
WBGene00003297	1	1	2	2	5	1	1
WBGene00220154	1	1	2	2	2	2	1
WBGene00004497	5	2	10	12	2	23	11
WBGene00021512	10	7	14	17	33	12	17
WBGene00220155	1	1	2	2	2	1	1
