GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00020300	28	10	10	10	19	4	5	3
WBGene00001338	35	17	4	9	9	1	14	15
WBGene00020298	10	3	1	5	8	2	1	1
WBGene00045249	3	1	1	1	3	1	2	1
WBGene00020297	35	11	21	20	32	7	11	3
WBGene00020296	5	4	4	1	5	1	1	1
WBGene00001666	3	1	1	1	2	1	1	2
WBGene00002187	15	5	7	11	8	1	3	4
WBGene00219270	25	14	61	39	82	19	22	33
WBGene00165558	3	1	5	3	3	1	1	1
WBGene00020299	20	4	1	10	6	2	3	1
WBGene00001332	13	1	3	4	6	1	3	1
WBGene00000913	68	33	18	16	37	7	13	7
WBGene00022046	48	21	18	13	15	6	8	7
WBGene00022047	13	6	4	5	6	1	2	1
WBGene00002041	10	4	12	4	8	1	3	2
WBGene00022045	3	5	3	1	2	1	1	1
WBGene00022044	3	2	1	1	2	1	1	1
WBGene00235263	3	1	1	1	6	1	1	1
WBGene00235264	3	1	1	1	2	1	1	1
WBGene00019772	3	1	1	1	2	1	1	1
WBGene00019773	5	3	1	1	3	1	1	1
WBGene00019774	5	2	1	1	3	1	1	1
WBGene00220031	3	1	1	1	2	1	1	1
WBGene00235265	3	1	1	1	2	1	1	1
WBGene00021011	13	5	4	4	3	1	2	1
WBGene00021012	15	4	1	3	5	1	1	1
WBGene00000213	15	6	3	4	3	1	1	1
WBGene00201763	23	8	3	6	5	2	2	2
WBGene00021010	5	2	1	1	2	1	1	1
WBGene00021013	3	1	1	1	2	1	1	1
WBGene00001625	3	1	1	1	2	1	1	1
WBGene00017276	3	1	1	1	2	1	1	1
WBGene00199193	3	1	1	1	2	1	1	1
WBGene00018924	3	4	1	3	2	1	1	1
WBGene00200779	3	1	3	1	2	1	1	1
WBGene00201760	3	1	1	1	2	1	1	1
WBGene00198589	3	1	1	1	2	1	1	1
WBGene00195964	3	1	1	1	3	1	1	1
WBGene00001165	3	1	1	3	5	1	1	1
WBGene00197598	5	1	10	6	3	1	1	1
WBGene00197815	3	1	1	1	2	1	2	1
WBGene00018927	3	1	1	1	2	1	1	1
WBGene00219978	3	1	1	1	2	1	1	1
WBGene00018925	10	7	5	1	5	1	1	1
WBGene00001579	8	6	5	6	5	3	4	2
WBGene00018926	20	6	7	8	14	4	1	3
WBGene00189987	18	24	8	9	3	9	5	4
WBGene00015995	3	1	1	1	2	1	1	1
WBGene00015996	3	1	1	1	2	1	1	1
WBGene00015994	3	2	1	1	2	1	1	1
WBGene00199836	3	1	1	1	2	1	1	1
WBGene00015997	3	1	1	1	2	1	1	1
WBGene00044457	3	1	1	1	2	1	1	1
WBGene00015998	5	1	1	1	2	1	1	1
WBGene00015999	3	1	1	1	2	1	1	1
WBGene00000676	10	2	1	1	2	1	1	1
WBGene00199072	5	1	1	1	2	1	1	1
WBGene00002140	3	1	1	1	2	1	1	1
WBGene00015993	3	2	1	1	2	1	1	1
WBGene00022911	3	1	1	1	2	1	1	1
WBGene00200850	48	1	1	1	2	1	1	1
WBGene00200054	2910	1790	248	199	210	90	68	109
WBGene00194995	3	5	1	5	3	1	1	1
WBGene00015497	8	2	1	1	5	1	1	1
WBGene00019665	3	3	3	3	2	1	1	1
WBGene00196668	3	1	1	1	2	1	1	1
WBGene00019658	3	1	1	1	3	1	1	2
WBGene00004427	40	24	17	6	19	9	8	8
WBGene00044948	8	3	1	1	2	1	1	1
WBGene00045051	3	1	1	3	2	1	1	1
WBGene00019664	3	2	1	3	3	1	1	1
WBGene00023106	3	1	1	3	2	1	1	1
WBGene00019663	3	1	3	3	3	1	1	1
WBGene00019662	3	1	1	1	2	1	1	1
WBGene00044723	5	1	1	1	2	1	1	1
WBGene00019659	3	2	1	1	2	1	1	1
WBGene00019660	3	1	1	1	2	1	1	1
WBGene00044458	3	1	1	1	2	1	1	1
WBGene00019661	3	1	1	1	3	1	1	1
WBGene00195864	20	1	3	1	2	1	1	1
WBGene00023038	3	1	1	1	2	1	1	1
WBGene00018256	3	1	1	1	3	1	1	1
WBGene00235287	3	1	3	1	2	1	1	1
WBGene00021950	5	2	1	1	2	1	1	1
WBGene00021949	3	1	3	1	6	1	1	1
WBGene00044460	5	1	1	1	2	1	1	2
WBGene00044459	5	1	1	1	2	1	1	1
WBGene00021951	3	1	1	1	3	1	1	1
WBGene00168241	3	1	1	1	2	1	1	1
WBGene00219763	3	1	1	1	2	1	1	1
WBGene00197624	3	1	3	1	2	1	1	1
WBGene00021948	20	6	3	3	2	2	1	1
WBGene00196878	5	1	3	3	5	1	1	1
WBGene00194844	5	1	3	1	2	1	1	1
WBGene00021947	3	2	5	1	3	1	1	1
WBGene00001788	15	4	3	1	3	1	1	1
WBGene00000677	35	10	4	3	8	2	2	3
WBGene00018928	13	6	3	1	3	1	1	1
WBGene00018929	8	3	3	1	3	2	1	1
WBGene00018933	8	5	1	1	3	1	3	2
WBGene00018932	15	5	4	3	6	1	1	1
WBGene00018931	8	3	1	1	3	1	1	1
WBGene00199691	3	1	1	4	2	1	1	2
WBGene00004824	8	2	1	1	2	1	1	1
WBGene00197041	3	1	3	3	2	1	1	1
WBGene00200616	3	3	4	3	3	1	3	1
WBGene00018930	23	7	12	6	15	4	3	3
WBGene00018935	8	3	3	1	3	1	1	1
WBGene00018934	10	3	1	1	2	1	1	1
WBGene00001154	5	2	4	3	5	1	1	1
WBGene00220182	3	1	1	1	2	1	1	1
WBGene00021935	13	1	3	4	2	1	1	1
WBGene00185088	13	2	1	3	3	1	2	1
WBGene00235283	3	1	1	1	2	1	1	1
WBGene00021936	5	5	4	4	5	1	3	1
WBGene00220183	3	1	1	1	2	1	1	1
WBGene00199601	3	1	5	1	2	1	1	1
WBGene00202216	3	1	1	3	2	1	1	1
WBGene00021942	5	7	8	5	9	2	4	2
WBGene00044742	25	4	5	5	12	1	1	4
WBGene00021943	5	2	4	3	5	1	3	1
WBGene00201199	10	2	1	1	2	1	1	1
WBGene00023184	3	1	1	1	2	1	1	1
WBGene00021941	3	1	1	1	2	1	1	1
WBGene00021945	13	3	1	1	2	1	1	1
WBGene00044757	5	1	1	4	2	1	1	1
WBGene00021939	20	11	5	9	19	4	1	2
WBGene00195533	3	1	1	3	2	1	1	1
WBGene00023183	15	4	8	13	8	1	3	2
WBGene00201671	18379	3786	5452	4673	6343	1149	638	755
WBGene00021938	20	8	5	4	8	1	2	1
WBGene00196995	3	1	5	1	3	1	1	1
WBGene00196058	3	1	1	1	2	1	3	1
WBGene00007007	33	11	4	4	3	1	1	2
WBGene00016649	3	1	1	1	2	1	1	1
WBGene00045301	3	1	1	1	2	1	1	1
WBGene00016648	3	1	1	1	2	1	1	1
WBGene00045300	3	1	1	1	2	1	1	1
WBGene00016647	3	1	1	1	2	1	1	1
WBGene00045299	3	1	1	1	2	1	1	1
WBGene00016646	3	1	1	1	2	1	1	1
WBGene00045298	3	1	3	1	2	1	1	1
WBGene00019073	3	1	1	1	2	1	1	1
WBGene00019072	3	1	1	1	2	1	1	1
WBGene00019070	5	1	1	1	2	1	1	1
WBGene00019069	10	1	3	3	3	2	1	1
WBGene00196404	3	1	1	1	2	1	1	1
WBGene00199590	3	1	1	3	5	1	1	1
WBGene00019067	3	6	8	20	8	4	4	3
WBGene00019068	3	1	5	5	3	1	1	1
WBGene00004047	48	14	12	11	11	1	5	4
WBGene00043705	8	1	3	5	2	1	1	1
WBGene00220181	3	1	1	1	2	1	1	1
WBGene00021924	18	8	10	8	8	5	1	1
WBGene00021923	20	6	22	30	32	5	5	2
WBGene00021925	3	1	1	3	2	1	1	1
WBGene00021926	8	7	3	3	2	1	1	1
WBGene00021922	15	9	10	4	6	2	3	3
WBGene00021921	13	9	1	3	6	2	1	2
WBGene00194825	3	1	1	1	2	1	1	1
WBGene00194822	3	1	1	1	2	1	1	1
WBGene00194823	3	1	1	1	2	1	1	1
WBGene00194824	3	1	1	1	2	1	1	1
WBGene00194826	3	1	1	1	2	1	1	1
WBGene00021927	3	1	1	1	3	1	1	1
WBGene00219762	3	1	3	1	2	1	1	1
WBGene00021928	3	2	3	1	2	1	1	1
WBGene00005903	8	4	3	8	6	3	1	3
WBGene00219399	3	1	1	1	2	1	1	1
WBGene00021929	18	2	4	3	5	1	3	1
WBGene00021930	8	14	1	3	2	1	1	2
WBGene00021920	5	6	4	1	3	1	1	1
WBGene00021931	10	3	4	3	3	1	1	1
WBGene00000816	8	2	4	3	2	1	1	1
WBGene00021934	18	6	3	6	6	2	3	3
WBGene00196098	3	1	1	1	2	1	1	1
WBGene00021933	5	2	1	4	2	3	1	1
WBGene00021932	3	1	1	1	3	1	1	1
WBGene00044462	5	1	4	1	2	1	1	1
WBGene00016637	3	1	1	3	3	1	1	1
WBGene00003893	30	10	13	13	17	6	7	4
WBGene00005905	3	1	1	1	2	1	1	1
WBGene00005904	3	1	1	1	2	1	1	1
WBGene00202064	5	1	1	1	2	1	1	1
WBGene00016638	38	14	7	10	15	6	7	8
WBGene00016636	15	2	3	4	3	1	3	1
WBGene00016639	3	1	1	1	2	1	1	1
WBGene00199664	3	1	1	1	2	1	1	1
WBGene00200465	3	1	1	1	2	1	1	1
WBGene00023256	5	1	1	1	2	1	1	1
WBGene00016797	3	3	3	3	3	1	1	1
WBGene00023257	3	1	1	1	2	1	1	1
WBGene00016798	3	1	1	1	2	1	1	1
WBGene00219437	3	1	1	1	2	1	1	1
WBGene00016796	5	4	4	4	8	2	2	1
WBGene00198147	10	1	7	3	3	1	1	1
WBGene00198949	3	1	1	1	2	1	1	1
WBGene00022426	3	1	1	1	2	1	1	1
WBGene00022428	3	1	1	1	3	1	1	1
WBGene00198533	3	1	7	5	5	4	2	1
WBGene00197287	3	1	7	8	5	1	1	1
WBGene00007020	5	1	1	1	2	1	1	1
WBGene00196875	3	1	1	3	2	1	1	1
WBGene00022427	10	12	8	3	8	3	3	4
WBGene00196976	3	1	1	1	2	1	1	1
WBGene00202019	3	1	1	3	2	1	1	1
WBGene00001104	25	14	12	14	19	6	6	8
WBGene00023163	18	4	4	5	8	3	1	3
WBGene00001103	13	5	5	3	12	4	2	1
WBGene00021123	5	1	1	3	2	1	1	1
WBGene00044463	3	1	1	1	2	1	1	1
WBGene00021122	3	3	3	6	8	1	1	1
WBGene00021121	5	4	4	5	3	4	1	1
WBGene00021120	5	1	1	1	2	1	1	2
WBGene00009521	20	3	3	1	5	1	2	1
WBGene00044908	5	2	3	3	2	1	1	1
WBGene00009522	15	1	1	3	2	1	1	1
WBGene00009523	3	1	1	1	3	1	1	1
WBGene00009524	5	3	1	3	2	1	1	1
WBGene00009518	8	1	3	1	3	1	1	1
WBGene00009519	3	1	1	3	3	1	1	1
WBGene00045003	3	1	1	1	2	1	1	1
WBGene00009517	3	1	1	1	3	1	1	1
WBGene00009520	8	2	7	10	5	1	1	4
WBGene00045037	3	1	1	1	2	1	1	1
WBGene00009526	8	1	1	1	2	1	1	1
WBGene00009525	3	1	3	1	2	1	1	1
WBGene00009515	5	1	1	1	3	1	1	3
WBGene00007476	3	2	4	3	2	1	1	1
WBGene00022425	28	10	4	5	12	4	4	3
WBGene00018776	30	14	9	9	17	3	4	7
WBGene00018778	43	16	16	16	12	4	9	6
WBGene00018777	5	9	3	4	11	1	1	1
WBGene00023291	3	2	1	1	2	1	1	1
WBGene00019054	3	1	1	1	2	1	1	1
WBGene00019053	3	1	1	1	2	1	1	1
WBGene00004338	3	2	1	1	5	1	1	1
WBGene00000678	3	2	5	1	2	1	1	1
WBGene00023304	3	1	1	1	2	1	1	1
WBGene00166535	3	1	1	1	2	1	1	1
WBGene00000679	8	3	3	3	2	1	1	1
WBGene00200943	3	1	1	1	2	1	1	1
WBGene00023305	3	1	1	1	2	1	1	1
WBGene00199889	5	2	3	1	5	1	1	1
WBGene00019052	5	4	5	5	5	2	3	2
WBGene00219265	3	1	4	5	2	1	1	3
WBGene00023397	10	1	5	6	6	2	2	3
WBGene00022423	8	4	1	3	3	1	2	4
WBGene00023202	3	2	1	3	2	1	1	3
WBGene00198926	3	1	1	1	2	1	1	1
WBGene00022314	3	1	3	1	2	1	1	1
WBGene00023392	3	1	1	1	2	1	1	1
WBGene00022309	5	1	1	1	2	1	1	1
WBGene00022310	15	4	4	5	2	2	1	1
WBGene00199927	3	1	1	3	2	1	1	1
WBGene00002180	3	1	1	1	5	1	1	1
WBGene00022311	10	2	1	3	3	1	1	1
WBGene00022312	5	2	1	1	3	1	1	1
WBGene00235266	46	1	1	3	3	1	1	1
WBGene00235267	10	2	1	1	2	1	1	1
WBGene00000546	10	2	1	5	6	2	1	1
WBGene00000547	5	3	10	13	6	4	5	1
WBGene00022308	8	1	1	1	2	1	1	1
WBGene00022307	15	5	4	1	5	1	1	6
WBGene00000680	99	74	21	10	29	8	9	6
WBGene00022313	3	2	1	4	3	1	1	1
WBGene00023393	3	1	1	1	2	1	1	1
WBGene00220213	5	1	1	3	3	1	1	1
WBGene00023394	3	1	1	1	2	1	1	1
WBGene00044464	3	2	1	1	2	1	1	1
WBGene00199030	3	1	1	1	2	1	1	1
WBGene00003806	5	4	3	3	2	1	1	1
WBGene00022306	10	6	10	3	8	1	1	1
WBGene00198503	3	1	1	1	2	1	1	1
WBGene00019368	3	2	1	1	2	1	1	1
WBGene00023094	3	1	1	1	2	1	1	1
WBGene00197920	5	1	1	1	2	1	1	1
WBGene00195475	3	1	1	1	2	1	1	1
WBGene00044719	3	1	1	1	2	1	1	1
WBGene00019369	3	1	1	1	2	1	1	1
WBGene00019367	5	1	1	3	3	1	1	4
WBGene00019370	5	2	3	3	5	1	1	1
WBGene00195474	3	1	1	1	2	1	1	1
WBGene00201161	3	1	1	1	2	2	1	1
WBGene00016427	3	2	1	3	3	1	1	1
WBGene00000681	8	2	1	3	5	1	1	1
WBGene00044073	18	7	13	15	12	6	1	4
WBGene00016425	38	10	9	9	22	9	5	7
WBGene00016424	38	6	14	16	14	4	5	3
WBGene00021520	53	21	38	20	34	10	9	8
WBGene00021519	33	7	22	15	12	6	2	6
WBGene00021518	51	26	37	14	25	13	5	6
WBGene00021517	94	22	31	25	26	9	6	6
WBGene00003794	58	23	18	14	15	4	11	6
WBGene00220152	3	2	1	1	2	1	1	1
