GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00220192	3	1	1	4	6	1	1	2
WBGene00004981	1438	396	160	131	172	82	61	44
WBGene00020295	152	52	52	34	42	19	11	25
WBGene00004493	21604	3827	2820	2537	2592	1312	849	953
WBGene00044789	3719	723	1312	1170	1335	520	522	759
WBGene00020300	1135	241	154	110	164	87	86	88
WBGene00001338	652	209	112	115	127	63	27	62
WBGene00020298	1320	469	310	214	250	105	76	83
WBGene00045249	182	47	20	15	22	7	5	4
WBGene00020297	9313	2932	2898	2429	2715	1319	885	1005
WBGene00020296	1279	428	355	223	331	130	88	99
WBGene00001666	25	14	14	8	15	4	5	4
WBGene00002187	650	220	149	110	125	58	46	61
WBGene00219270	10	1	10	8	12	3	2	1
WBGene00165558	5	1	3	1	5	1	1	1
WBGene00020299	48	25	14	9	17	6	7	4
WBGene00001332	1585	464	580	526	532	251	170	184
WBGene00000913	16763	4446	4442	3695	4114	1715	1151	1378
WBGene00022046	3989	1041	803	576	767	253	185	237
WBGene00022047	149	74	57	36	53	31	17	22
WBGene00002041	1557	488	403	336	420	137	115	142
WBGene00022045	273	59	31	20	31	19	10	18
WBGene00022044	981	325	181	131	168	66	43	48
WBGene00235263	5	2	1	4	2	1	1	1
WBGene00235264	3	1	3	1	2	1	1	1
WBGene00019772	58	27	8	11	9	5	5	4
WBGene00019773	23	4	8	4	2	3	2	2
WBGene00019774	106	44	26	33	36	11	5	7
WBGene00220031	3	1	1	1	2	1	1	1
WBGene00235265	3	1	1	1	2	1	1	1
WBGene00021011	111	41	23	20	39	11	5	7
WBGene00021012	2154	738	425	356	467	174	115	172
WBGene00000213	736	183	143	128	145	68	52	43
WBGene00201763	3	1	1	1	2	1	1	1
WBGene00021010	33	5	12	5	14	4	2	1
WBGene00021013	3	4	3	4	3	1	1	1
WBGene00001625	33	14	8	1	6	2	3	2
WBGene00017276	3	1	1	1	2	1	1	1
WBGene00199193	3	1	1	1	2	1	1	1
WBGene00018924	30	6	13	9	8	4	2	2
WBGene00200779	3	1	1	1	2	1	1	1
WBGene00201760	3	1	1	1	2	1	1	1
WBGene00198589	3	2	1	1	5	1	1	1
WBGene00195964	3	1	1	1	2	1	1	1
WBGene00001165	377	116	72	65	77	24	21	20
WBGene00197598	5	1	1	1	2	1	1	1
WBGene00197815	3	1	1	1	2	1	1	1
WBGene00018927	23	9	4	4	12	4	2	3
WBGene00219978	3	1	4	1	3	1	1	1
WBGene00018925	1310	376	278	265	311	86	56	71
WBGene00001579	2874	970	1153	983	1120	381	267	294
WBGene00018926	265	26	30	31	25	8	5	9
WBGene00189987	10	2	1	1	3	1	2	1
WBGene00015995	3	1	1	1	2	1	1	1
WBGene00015996	25	3	7	4	6	3	3	2
WBGene00015994	134	14	23	18	19	4	5	3
WBGene00199836	3	1	1	1	2	1	1	1
WBGene00015997	28	6	3	1	2	1	1	1
WBGene00044457	46	24	14	6	6	11	7	10
WBGene00015998	8	2	3	3	2	1	1	2
WBGene00015999	5	2	3	1	2	1	1	1
WBGene00000676	25	4	3	3	5	1	1	1
WBGene00199072	3	1	1	1	2	1	1	1
WBGene00002140	30	12	13	10	9	4	1	4
WBGene00015993	94	34	14	13	9	9	5	9
WBGene00022911	48	1	1	1	2	1	1	1
WBGene00200850	3	1	1	1	2	1	1	1
WBGene00200054	8	5	1	5	3	1	1	1
WBGene00194995	2910	1790	248	199	210	90	68	109
WBGene00015497	233	68	76	60	97	27	18	26
WBGene00019665	106	25	22	15	32	11	7	6
WBGene00196668	3	1	1	1	2	1	1	1
WBGene00019658	126	34	18	8	8	4	1	2
WBGene00004427	17678	3273	3753	3263	3641	1616	1020	1117
WBGene00044948	819	500	107	118	173	43	27	36
WBGene00045051	895	259	194	172	312	31	15	28
WBGene00019664	1537	267	132	115	125	40	22	39
WBGene00023106	144	16	1	5	9	1	2	2
WBGene00019663	369	77	60	64	53	32	19	29
WBGene00019662	3	2	4	1	2	1	2	2
WBGene00044723	5	7	3	1	3	1	1	1
WBGene00019659	3	4	3	1	2	1	2	1
WBGene00019660	15	6	3	4	2	2	2	1
WBGene00044458	3	1	4	3	2	1	1	1
WBGene00019661	43	19	16	14	14	4	3	7
WBGene00195864	3	1	1	1	2	1	1	1
WBGene00023038	20	1	3	1	2	1	1	1
WBGene00018256	109	37	39	23	22	16	8	9
WBGene00235287	10	1	3	1	2	1	1	1
WBGene00021950	106	35	53	48	59	21	21	16
WBGene00021949	3	1	1	1	2	1	1	1
WBGene00044460	13	3	4	3	6	4	3	1
WBGene00044459	177	60	52	45	54	25	15	15
WBGene00021951	5	1	1	1	2	1	1	1
WBGene00168241	3	1	1	1	2	1	1	1
WBGene00219763	3	2	3	1	2	1	1	1
WBGene00197624	3	2	1	1	2	1	1	1
WBGene00021948	243	49	47	45	46	15	7	20
WBGene00196878	3	1	1	1	2	1	1	1
WBGene00194844	10	4	1	1	3	1	1	1
WBGene00021947	10	4	4	1	3	1	1	1
WBGene00001788	20	8	1	4	3	2	1	1
WBGene00000677	12107	1532	942	1041	986	351	244	342
WBGene00018928	225	82	46	21	26	27	11	19
WBGene00018929	13	7	1	3	5	3	3	2
WBGene00018933	3	2	3	1	3	1	1	1
WBGene00018932	1072	320	128	103	128	89	62	62
WBGene00018931	126	38	23	14	25	11	10	11
WBGene00199691	3	1	1	1	3	1	1	1
WBGene00004824	715	299	162	128	138	62	40	51
WBGene00197041	3	1	1	1	2	1	1	1
WBGene00200616	3	1	1	1	2	1	1	1
WBGene00018930	48	13	14	5	11	2	2	1
WBGene00018935	963	286	120	89	108	62	38	53
WBGene00018934	887	267	108	80	102	37	23	31
WBGene00001154	1345	387	330	302	433	114	100	101
WBGene00220182	129	42	80	61	90	13	20	19
WBGene00021935	728	329	179	160	172	83	64	58
WBGene00185088	162	38	52	48	63	17	11	19
WBGene00235283	3	2	1	3	3	1	1	2
