GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00045298	11	10	12	23	21	8	10
WBGene00019073	6	3	14	25	21	4	7
WBGene00019072	17	24	14	21	29	12	16
WBGene00019070	8	2	4	2	2	1	1
WBGene00019069	39	21	56	60	48	18	10
WBGene00004047	116	55	445	673	518	75	65
WBGene00021924	25	54	73	64	72	24	23
WBGene00021922	13	16	20	6	10	16	12
WBGene00021921	15	12	8	15	17	24	20
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	2	2	2	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021920	4	5	6	2	5	4	4
WBGene00196098	1	1	2	2	2	5	1
WBGene00021933	3	6	2	10	2	11	6
WBGene00021932	8	8	38	8	21	28	21
WBGene00016637	3	1	2	4	5	4	3
WBGene00003893	25	13	28	23	31	48	58
WBGene00202064	3	1	2	2	5	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00219437	4	2	2	4	5	5	1
WBGene00016796	6	26	14	12	33	26	18
WBGene00022426	3	9	8	8	19	14	8
WBGene00022428	9	14	54	60	76	9	8
WBGene00007020	13	2	66	56	60	17	11
WBGene00021123	6	2	2	4	2	1	3
WBGene00021122	53	3	777	648	1050	12	21
WBGene00021121	8	4	6	8	14	4	3
WBGene00021120	3	2	8	2	7	4	1
WBGene00009524	4	13	8	4	5	4	2
WBGene00009519	5	31	8	4	5	5	4
WBGene00045003	1	1	2	2	2	4	1
WBGene00009520	11	12	14	17	12	4	2
WBGene00009526	4	17	10	6	2	4	1
WBGene00009525	1	1	4	2	2	2	1
WBGene00009515	22	18	26	43	33	11	6
WBGene00007476	3	3	6	4	2	3	2
WBGene00022425	50	16	18	21	24	13	6
WBGene00018778	32	86	54	58	67	42	32
WBGene00018777	15	17	26	14	41	22	13
WBGene00019054	1	3	4	6	7	3	2
WBGene00019053	1	2	4	4	2	4	1
WBGene00004338	5	10	6	10	12	10	7
WBGene00166535	1	2	2	2	2	1	1
WBGene00023305	1	1	2	2	2	1	2
WBGene00022423	140	68	24	17	12	63	50
WBGene00198926	1	1	2	2	5	2	2
WBGene00022314	3	2	6	4	5	3	4
WBGene00199927	1	1	2	4	2	1	1
WBGene00002180	1	8	2	2	7	1	2
WBGene00022308	5	2	2	2	7	4	1
WBGene00022307	13	27	10	4	10	36	39
WBGene00023393	3	1	2	2	2	1	1
WBGene00220213	4	1	2	4	5	2	1
WBGene00044464	4	2	4	10	2	8	3
WBGene00019368	28	9	42	39	36	18	14
WBGene00019367	4	11	10	8	7	5	4
WBGene00195474	1	1	2	2	2	1	1
WBGene00000681	5	2	10	17	12	8	6
WBGene00044073	39	7	24	43	33	7	4
WBGene00016425	27	39	16	14	33	7	6
WBGene00016424	62	17	30	43	31	10	6
WBGene00021520	34	14	60	41	55	11	12
WBGene00021519	18	8	36	29	26	12	8
WBGene00021518	29	5	60	23	38	17	9
WBGene00021517	69	20	64	48	64	36	26
WBGene00021516	104	47	592	505	609	83	59
WBGene00000416	13	12	79	66	88	24	11
WBGene00021515	9	3	81	68	86	8	6
WBGene00021514	10	2	62	44	81	11	8
WBGene00001105	28	13	14	15	10	8	7
WBGene00003712	4	19	8	4	2	5	4
WBGene00045255	14	20	16	14	14	13	7
WBGene00021525	3	2	2	6	2	5	2
WBGene00021513	8	5	10	10	14	12	4
WBGene00004497	5	2	10	12	2	23	11
WBGene00021512	20	10	97	91	136	18	18
WBGene00220155	1	1	2	2	2	1	1
WBGene00021511	6	59	4	4	2	9	1
WBGene00200640	1	1	2	2	2	1	1
WBGene00044618	3	11	10	6	5	6	3
WBGene00019538	10	7	4	2	10	4	11
WBGene00019537	20	4	16	4	17	14	15
WBGene00019536	34	12	8	15	7	15	6
WBGene00195004	18	2	10	21	24	5	4
WBGene00021506	13	29	20	15	38	25	15
WBGene00021505	22	11	24	33	29	8	4
WBGene00000682	8	4	4	4	2	1	1
WBGene00021504	10	12	12	15	14	11	4
WBGene00195012	5	2	2	6	10	4	2
WBGene00000553	189	43	60	64	43	44	23
WBGene00019462	34	52	16	31	31	23	21
WBGene00001173	577	169	524	654	683	198	102
WBGene00001186	78	171	34	60	53	62	54
WBGene00001253	8	18	18	15	10	9	6
WBGene00018681	33	37	64	93	81	53	45
