GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00021935	23	1	7	10	3	1	3	1
WBGene00185088	13	2	1	3	3	1	2	1
WBGene00199601	3	1	5	1	2	1	1	1
WBGene00044742	25	4	5	5	12	1	1	4
WBGene00023184	3	1	1	1	2	1	1	1
WBGene00021941	58	1	27	59	29	1	2	1
WBGene00044757	18	1	1	6	2	1	1	1
WBGene00021939	18697	3801	5538	4841	6445	1154	639	759
WBGene00021938	94	9	14	38	19	1	3	1
WBGene00007007	46	14	8	13	9	1	1	2
WBGene00016649	13	12	10	16	11	4	1	4
WBGene00045301	23	6	7	14	14	5	4	1
WBGene00016648	13	12	9	16	14	4	3	4
WBGene00045300	23	6	8	15	14	5	4	1
WBGene00016647	13	12	9	16	14	4	3	4
WBGene00045299	23	6	8	15	14	5	4	1
WBGene00016646	13	12	10	16	11	4	1	4
WBGene00045298	23	7	8	15	14	5	4	1
WBGene00019073	13	12	9	16	14	4	3	4
WBGene00019072	33	7	9	14	19	5	5	1
WBGene00019070	15	1	3	1	2	1	1	1
WBGene00019069	78	8	37	39	31	4	9	6
WBGene00004047	230	25	288	436	335	23	36	26
WBGene00021924	51	16	47	41	46	7	5	8
WBGene00021923	35	11	60	65	91	12	10	8
WBGene00021922	25	10	13	4	6	2	3	3
WBGene00021921	30	11	5	10	11	2	2	2
WBGene00194822	3	1	1	1	2	1	1	1
WBGene00194823	3	1	1	1	2	1	1	1
WBGene00194824	3	1	1	1	2	1	1	1
WBGene00194826	3	1	1	1	2	1	1	1
WBGene00021920	8	6	4	1	3	1	1	1
WBGene00196098	3	1	1	1	2	1	1	1
WBGene00021933	5	2	1	6	2	3	1	1
WBGene00021932	15	1	25	5	14	1	1	2
WBGene00016637	5	1	1	3	3	1	1	1
WBGene00003893	51	14	18	15	20	6	7	6
WBGene00202064	5	1	1	1	3	1	1	1
WBGene00016636	15	2	3	4	5	1	3	1
WBGene00200465	3	1	1	1	2	1	1	1
WBGene00219437	8	1	1	3	3	1	1	1
WBGene00016796	13	6	9	8	22	2	2	1
WBGene00022426	5	2	5	5	12	1	3	3
WBGene00022428	18	2	35	39	49	1	4	2
WBGene00007020	25	7	43	36	39	7	5	6
WBGene00022427	1502	19	98	128	97	27	25	30
WBGene00021123	13	1	1	3	2	1	1	1
WBGene00021122	106	77	503	420	680	280	267	355
WBGene00021121	15	4	4	5	9	4	1	1
WBGene00021120	5	1	5	1	5	1	1	2
WBGene00009524	8	3	5	3	3	1	1	1
WBGene00009519	10	1	5	3	3	1	1	1
WBGene00045003	3	1	1	1	2	1	1	1
WBGene00009520	23	2	9	11	8	1	1	4
WBGene00009526	8	1	7	4	2	1	1	1
WBGene00009525	3	1	3	1	2	1	1	1
WBGene00009515	43	4	17	28	22	4	1	9
WBGene00007476	5	2	4	3	2	1	1	1
WBGene00022425	99	11	12	14	15	4	5	3
WBGene00018778	63	20	35	38	43	4	13	9
WBGene00018777	30	12	17	9	26	1	3	1
WBGene00019054	3	1	3	4	5	1	1	1
WBGene00019053	3	1	3	3	2	1	1	1
WBGene00004338	10	4	4	6	8	1	1	1
WBGene00166535	3	1	1	1	2	1	1	1
WBGene00023305	3	1	1	1	2	1	1	1
WBGene00022423	278	19	16	11	8	1	3	4
WBGene00198926	3	1	1	1	3	1	1	1
WBGene00022314	5	1	4	3	3	1	1	1
WBGene00199927	3	1	1	3	2	1	1	1
WBGene00002180	3	1	1	1	5	1	1	1
WBGene00022308	10	1	1	1	5	1	1	1
WBGene00022307	25	12	7	3	6	1	1	6
WBGene00023393	5	1	1	1	2	1	1	1
WBGene00220213	8	1	1	3	3	1	1	1
WBGene00044464	8	2	3	6	2	1	1	2
WBGene00022306	88	37	304	296	397	71	99	94
WBGene00019367	8	1	7	5	5	1	1	4
WBGene00195474	3	1	1	1	2	1	1	1
WBGene00000681	10	2	7	11	8	1	1	1
WBGene00044073	78	7	16	28	22	6	1	4
WBGene00016425	53	10	10	9	22	9	7	7
WBGene00016424	124	9	20	28	20	4	5	4
WBGene00021520	68	21	39	26	36	10	9	8
WBGene00021519	35	7	23	19	17	6	3	7
WBGene00021518	58	27	39	15	25	13	6	6
WBGene00021517	137	32	42	31	42	9	8	8
WBGene00021516	207	45	383	327	394	89	89	101
WBGene00000416	25	7	51	43	57	8	3	8
WBGene00021515	18	4	52	44	56	10	14	11
WBGene00021514	20	4	40	29	53	8	11	11
WBGene00001105	56	30	9	10	6	3	2	3
WBGene00003712	8	3	5	3	2	1	1	1
WBGene00003682	18	5	23	36	28	6	6	7
WBGene00003677	15	4	4	8	9	2	1	3
WBGene00045255	28	5	10	9	9	3	2	2
WBGene00021525	5	2	1	4	2	1	1	2
WBGene00021513	15	5	7	6	9	2	3	2
WBGene00004497	10	3	7	8	2	2	1	1
WBGene00021512	40	22	63	59	88	21	21	20
WBGene00220155	3	1	1	1	2	1	1	1
WBGene00021511	13	2	3	3	2	1	1	1
WBGene00200640	3	1	1	1	2	1	1	1
WBGene00044618	5	1	7	4	3	1	1	1
WBGene00019538	20	3	3	1	6	2	4	1
WBGene00019537	40	12	10	3	11	1	2	1
