GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00000913	34	10	28	25	57	92	125
WBGene00022046	24	18	28	19	24	39	28
WBGene00022047	6	6	6	8	10	2	1
WBGene00002041	5	8	18	6	12	21	29
WBGene00022045	1	2	4	2	2	4	3
WBGene00022044	1	2	2	2	2	4	2
WBGene00235263	1	1	2	2	10	1	1
WBGene00235264	1	1	2	2	2	1	1
WBGene00019772	1	1	2	2	2	1	1
WBGene00019773	3	2	2	2	5	2	1
WBGene00019774	3	2	2	2	5	4	3
WBGene00220031	1	1	2	2	2	1	1
WBGene00235265	1	1	2	2	2	1	1
WBGene00021011	6	1	6	6	5	2	5
WBGene00021012	8	3	2	4	7	5	10
WBGene00000213	8	2	4	6	5	2	3
WBGene00201763	11	2	4	10	7	5	7
WBGene00021010	3	1	2	2	2	2	2
WBGene00021013	1	1	2	2	2	2	1
WBGene00001625	1	2	2	2	2	1	3
WBGene00017276	1	1	2	2	2	1	1
WBGene00199193	1	1	2	2	2	1	1
WBGene00018924	1	13	2	4	2	2	6
WBGene00200779	1	1	4	2	2	1	1
WBGene00201760	1	2	2	2	2	1	1
WBGene00198589	1	3	2	2	2	1	1
WBGene00195964	1	1	2	2	5	1	1
WBGene00001165	1	2	2	4	7	2	2
WBGene00197598	3	2	16	10	5	1	2
WBGene00197815	1	2	2	2	2	2	2
WBGene00018927	1	3	2	2	2	1	1
WBGene00219978	1	1	2	2	2	1	1
WBGene00018925	5	2	8	2	7	3	11
WBGene00001579	4	3	8	10	7	14	6
WBGene00018926	10	4	10	12	21	5	7
WBGene00189987	9	2	12	14	5	7	6
WBGene00015995	1	1	2	2	2	1	1
WBGene00015996	1	2	2	2	2	1	2
WBGene00015994	1	1	2	2	2	1	1
WBGene00199836	1	1	2	2	2	1	1
WBGene00015997	1	2	2	2	2	1	2
WBGene00044457	1	1	2	2	2	2	1
WBGene00015998	3	2	2	2	2	1	1
WBGene00015999	1	1	2	2	2	1	1
WBGene00000676	5	2	2	2	2	1	1
WBGene00199072	3	1	2	2	2	1	1
WBGene00002140	1	7	2	2	2	4	2
WBGene00015993	1	3	2	2	2	5	7
WBGene00022911	1	1	2	2	2	1	1
WBGene00200850	24	2	2	2	2	2	3
WBGene00200054	1463	34	383	307	325	199	215
WBGene00194995	1	1	2	8	5	2	2
WBGene00015497	4	85	2	2	7	66	74
WBGene00019665	1	20	4	4	2	15	15
WBGene00196668	1	1	2	2	2	1	1
WBGene00019658	1	1	2	2	5	4	2
WBGene00004427	20	12	26	10	29	85	108
WBGene00044948	4	1	2	2	2	1	1
WBGene00045051	1	1	2	4	2	2	2
WBGene00019664	1	7	2	4	5	7	9
WBGene00023106	1	1	2	4	2	1	1
WBGene00019663	1	1	4	4	5	4	1
WBGene00019662	1	1	2	2	2	1	1
WBGene00044723	3	5	2	2	2	2	2
WBGene00019659	1	7	2	2	2	2	5
WBGene00019660	1	16	2	2	2	5	3
WBGene00044458	1	1	2	2	2	1	1
WBGene00019661	1	1	2	2	5	1	1
WBGene00195864	10	1	4	2	2	4	1
WBGene00023038	1	2	2	2	2	1	1
WBGene00018256	1	1	2	2	5	1	2
WBGene00235287	1	2	4	2	2	1	1
WBGene00021950	3	2	2	2	2	5	2
WBGene00021949	1	1	4	2	10	1	1
WBGene00044460	3	1	2	2	2	1	1
WBGene00044459	3	1	2	2	2	1	2
WBGene00021951	1	1	2	2	5	1	1
WBGene00168241	1	1	2	2	2	1	1
WBGene00219763	1	1	2	2	2	1	1
WBGene00197624	1	1	4	2	2	1	1
WBGene00021948	10	33	4	4	2	12	20
WBGene00196878	3	2	4	4	7	1	1
WBGene00194844	3	2	4	2	2	1	1
WBGene00021947	1	270	8	2	5	73	112
WBGene00001788	8	391	4	2	5	147	220
WBGene00000677	18	2	6	4	12	24	18
WBGene00018928	6	13	4	2	5	14	5
WBGene00018929	4	7	4	2	5	2	4
WBGene00018933	4	1	2	2	5	3	4
WBGene00018932	8	8	6	4	10	7	9
WBGene00018931	4	2	2	2	5	1	1
WBGene00199691	1	1	2	6	2	1	1
WBGene00004824	4	2	2	2	2	4	5
WBGene00197041	1	1	4	4	2	1	1
WBGene00200616	1	1	6	4	5	1	1
WBGene00018930	11	3	18	10	24	6	7
WBGene00018935	4	1	4	2	5	3	2
WBGene00018934	5	1	2	2	2	5	8
WBGene00001154	3	4	6	4	7	14	7
WBGene00220182	1	2	2	2	2	2	2
WBGene00021935	6	1	4	6	2	9	2
WBGene00185088	6	4	2	4	5	1	2
WBGene00235283	1	1	2	2	2	1	1
WBGene00021936	3	3	6	6	7	9	6
WBGene00220183	1	1	2	2	2	1	1
WBGene00199601	1	1	8	2	2	1	1
WBGene00202216	1	1	2	4	2	1	1
WBGene00021942	3	10	12	8	14	4	8
WBGene00044742	13	6	8	8	19	7	7
WBGene00021943	3	48	6	4	7	9	5
WBGene00201199	5	1	2	2	2	1	5
WBGene00023184	1	1	2	2	2	1	1
WBGene00021941	1	5	2	2	2	4	2
WBGene00021945	6	2	2	2	2	4	2
WBGene00044757	3	1	2	6	2	1	1
WBGene00021939	10	4	8	14	29	15	22
WBGene00195533	1	1	2	4	2	1	1
WBGene00023183	8	7	12	19	12	4	2
WBGene00201671	9240	4811	8419	7217	9796	5321	3375
WBGene00021938	10	4	8	6	12	9	6
WBGene00196995	1	1	8	2	5	1	2
WBGene00196058	1	1	2	2	2	2	1
WBGene00007007	17	2	6	6	5	2	3
WBGene00016649	1	1	2	2	2	1	1
WBGene00045301	1	1	2	2	2	1	1
WBGene00016648	1	1	2	2	2	1	1
WBGene00045300	1	1	2	2	2	1	1
WBGene00016647	1	1	2	2	2	1	1
WBGene00045299	1	1	2	2	2	1	1
WBGene00016646	1	1	2	2	2	1	1
WBGene00045298	1	1	4	2	2	1	1
WBGene00019073	1	1	2	2	2	1	1
WBGene00019072	1	1	2	2	2	1	1
WBGene00019070	3	1	2	2	2	1	1
WBGene00019069	5	2	4	4	5	1	2
WBGene00196404	1	1	2	2	2	2	1
WBGene00199590	1	1	2	4	7	1	1
WBGene00019067	1	7	12	31	12	5	5
WBGene00019068	1	1	8	8	5	2	2
WBGene00004047	24	7	18	17	17	27	30
WBGene00043705	4	2	4	8	2	1	3
WBGene00220181	1	1	2	2	2	1	1
WBGene00021924	9	38	16	12	12	12	11
WBGene00021923	10	129	34	46	50	42	33
WBGene00021925	1	1	2	4	2	1	2
WBGene00021926	4	1	4	4	2	8	6
