GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00198147	3	1	1	1	2	1	1	1
WBGene00198533	3	1	1	1	3	1	1	1
WBGene00197287	3	1	1	1	2	1	1	1
WBGene00196875	3	1	1	1	2	1	1	1
WBGene00202019	3	1	1	1	2	1	1	1
WBGene00001104	230	79	43	33	56	16	11	17
WBGene00023163	15	2	1	1	6	3	1	1
WBGene00001103	76	17	10	16	20	1	1	1
WBGene00044463	13	9	4	8	9	4	2	4
WBGene00009521	2609	682	772	622	770	243	200	209
WBGene00044908	35	2	4	3	5	1	2	1
WBGene00009522	43	23	22	23	23	8	8	8
WBGene00009523	53	14	37	26	26	6	3	3
WBGene00009518	192	62	35	31	29	19	13	19
WBGene00009517	30	4	13	6	6	2	3	1
WBGene00045037	5	1	1	1	2	1	1	1
WBGene00018776	6755	1566	1809	1658	1705	676	472	529
WBGene00000678	394	52	47	55	48	10	5	9
WBGene00023304	5	1	1	1	2	1	1	1
WBGene00000679	28	1	9	9	2	1	1	1
WBGene00200943	3	1	1	1	2	1	1	1
WBGene00199889	3	2	1	1	2	1	1	1
WBGene00019052	8	1	3	1	2	1	1	1
WBGene00219265	10	1	1	1	2	1	1	1
WBGene00023397	18	1	1	1	2	1	1	1
WBGene00023202	240	11	3	1	2	1	1	1
WBGene00022309	169	35	12	8	11	6	3	4
WBGene00022310	2723	835	856	750	838	320	197	206
WBGene00022311	35	11	5	8	6	2	1	1
WBGene00022312	40	10	13	10	12	2	3	2
WBGene00235267	63	19	18	8	25	6	2	1
WBGene00000546	164	26	39	34	36	6	10	6
WBGene00000547	3289	944	859	862	811	329	223	270
WBGene00000680	25419	6054	1604	1435	1454	809	514	624
WBGene00022313	172	21	65	55	66	9	13	8
WBGene00199030	3	1	1	1	2	1	1	1
WBGene00003806	1358	470	300	309	309	137	129	134
WBGene00198503	3	1	1	1	2	1	1	1
WBGene00197920	3	1	1	1	5	1	1	1
WBGene00044719	66	16	8	14	14	9	4	1
WBGene00019369	23	8	3	3	5	2	5	1
WBGene00019370	475	17	98	105	82	10	7	15
WBGene00201161	3	1	1	1	2	1	1	1
WBGene00016427	892	216	303	252	286	105	68	60
WBGene00003794	8954	2977	4863	4159	5176	1456	1247	1393
WBGene00021521	35	18	17	21	26	6	4	6
WBGene00199574	3	1	1	1	2	1	1	1
WBGene00219752	3	1	1	1	2	1	1	1
WBGene00021522	1317	420	776	669	818	235	219	235
WBGene00003297	5	1	5	4	8	1	1	1
WBGene00220154	13	2	12	6	15	5	3	6
WBGene00021524	28	5	9	19	25	2	2	1
WBGene00197111	3	1	1	1	2	1	1	1
WBGene00003947	2313	501	483	418	544	197	161	179
WBGene00044293	15	1	3	1	2	1	1	2
WBGene00021507	3565	1098	2563	2537	2853	850	788	1044
WBGene00021508	640	236	218	200	218	107	64	67
WBGene00021509	212	65	216	178	204	47	37	49
WBGene00021510	369	112	290	281	338	80	68	72
WBGene00198094	15	2	4	6	8	1	1	1
WBGene00021410	162	59	48	44	66	23	13	16
WBGene00004913	53	21	48	30	42	9	10	10
WBGene00000683	291	37	35	33	40	11	9	10
WBGene00198204	3	1	1	1	2	1	1	1
WBGene00201394	5	4	1	4	2	1	1	1
WBGene00198086	10	1	1	1	2	1	1	1
WBGene00195510	5	1	1	3	2	1	1	1
WBGene00196527	3	2	1	1	2	1	1	1
WBGene00022298	94	9	23	19	17	8	3	3
WBGene00022301	4480	1294	2397	2223	2536	670	530	641
WBGene00022303	25	2	4	4	2	1	1	1
WBGene00019874	8	1	3	3	2	1	1	1
WBGene00202224	3	1	1	1	2	1	1	1
WBGene00044649	43	6	22	43	54	6	9	10
WBGene00219423	71	21	125	128	153	19	21	21
WBGene00000487	30	2	3	8	11	1	2	3
WBGene00016027	250	102	56	36	57	16	15	22
WBGene00001729	20	2	3	4	6	2	1	2
WBGene00235274	46	6	8	6	20	1	4	1
WBGene00016920	73	10	7	8	8	4	3	8
WBGene00001557	38	6	14	13	12	2	1	4
WBGene00219665	5	1	1	1	3	1	1	1
WBGene00016919	101	32	94	91	138	27	21	30
WBGene00195956	3	1	1	1	2	1	1	1
WBGene00202203	3	1	3	1	2	1	1	1
WBGene00235277	5	7	4	4	5	1	1	1
WBGene00202285	3	1	1	1	2	1	1	1
WBGene00019785	710	46	59	54	60	15	12	10
WBGene00019786	811	348	470	423	555	132	109	93
WBGene00019787	1211	470	369	318	372	149	111	118
WBGene00002990	1163	277	638	587	729	207	191	211
WBGene00199100	3	1	1	1	2	1	1	1
WBGene00021416	23	3	5	5	6	1	2	6
WBGene00006920	5822	1602	951	801	924	414	287	352
WBGene00006912	4834	867	3144	2556	3831	697	602	660
WBGene00198080	5	1	1	3	2	1	1	2
WBGene00165356	3	1	1	1	2	1	1	1
WBGene00021417	119	10	8	11	8	2	2	3
